interaction_id,customer_id,interaction_date,interaction_type,channel,agent_id,outcome,notes
28,5,2023-04-01,whatsapp,whatsapp,35,escalated,Synthetic interaction for CRM lab.
29,5,2023-04-16,phone_call,in_app,44,answered,Synthetic interaction for CRM lab.
30,5,2023-05-01,email,whatsapp,43,follow_up,Synthetic interaction for CRM lab.
31,5,2023-05-16,phone_call,sms,28,resolved,Synthetic interaction for CRM lab.
32,5,2023-05-31,meeting,whatsapp,33,follow_up,Synthetic interaction for CRM lab.
33,5,2023-06-15,meeting,whatsapp,49,escalated,Synthetic interaction for CRM lab.
34,6,2023-01-01,whatsapp,phone,35,escalated,Synthetic interaction for CRM lab.
35,6,2023-01-16,meeting,sms,48,follow_up,Synthetic interaction for CRM lab.
36,6,2023-01-31,meeting,in_app,46,resolved,Synthetic interaction for CRM lab.
37,6,2023-02-15,chatbot,phone,40,escalated,Synthetic interaction for CRM lab.
38,6,2023-03-02,email,email,1,follow_up,Synthetic interaction for CRM lab.
39,6,2023-03-17,whatsapp,whatsapp,23,escalated,Synthetic interaction for CRM lab.
40,6,2023-04-01,whatsapp,phone,23,answered,Synthetic interaction for CRM lab.
41,6,2023-04-16,chatbot,email,39,follow_up,Synthetic interaction for CRM lab.
42,6,2023-05-01,chatbot,sms,18,follow_up,Synthetic interaction for CRM lab.
43,6,2023-05-16,whatsapp,phone,7,no_answer,Synthetic interaction for CRM lab.
44,7,2023-01-01,whatsapp,whatsapp,9,escalated,Synthetic interaction for CRM lab.
45,7,2023-01-16,chatbot,email,31,escalated,Synthetic interaction for CRM lab.
46,7,2023-01-31,phone_call,in_app,13,answered,Synthetic interaction for CRM lab.
47,7,2023-02-15,meeting,in_app,28,answered,Synthetic interaction for CRM lab.
48,8,2023-01-01,email,phone,25,no_answer,Synthetic interaction for CRM lab.
49,8,2023-01-16,phone_call,email,6,follow_up,Synthetic interaction for CRM lab.
50,8,2023-01-31,email,in_app,38,escalated,Synthetic interaction for CRM lab.
51,8,2023-02-15,whatsapp,phone,40,follow_up,Synthetic interaction for CRM lab.
52,8,2023-03-02,chatbot,whatsapp,33,follow_up,Synthetic interaction for CRM lab.
53,8,2023-03-17,phone_call,email,24,escalated,Synthetic interaction for CRM lab.
54,8,2023-04-01,whatsapp,email,36,answered,Synthetic interaction for CRM lab.
55,8,2023-04-16,chatbot,email,43,no_answer,Synthetic interaction for CRM lab.
56,8,2023-05-01,email,phone,29,follow_up,Synthetic interaction for CRM lab.
57,8,2023-05-16,whatsapp,email,16,follow_up,Synthetic interaction for CRM lab.
58,8,2023-05-31,email,email,42,follow_up,Synthetic interaction for CRM lab.
59,8,2023-06-15,email,phone,16,resolved,Synthetic interaction for CRM lab.
60,9,2023-01-01,phone_call,phone,25,escalated,Synthetic interaction for CRM lab.
61,9,2023-01-16,chatbot,in_app,6,answered,Synthetic interaction for CRM lab.
62,9,2023-01-31,whatsapp,phone,10,answered,Synthetic interaction for CRM lab.
63,9,2023-02-15,meeting,phone,24,resolved,Synthetic interaction for CRM lab.
64,9,2023-03-02,chatbot,email,31,resolved,Synthetic interaction for CRM lab.
65,9,2023-03-17,email,in_app,9,no_answer,Synthetic interaction for CRM lab.
66,9,2023-04-01,meeting,email,16,follow_up,Synthetic interaction for CRM lab.
67,9,2023-04-16,email,sms,5,escalated,Synthetic interaction for CRM lab.
68,10,2023-01-01,phone_call,phone,29,escalated,Synthetic interaction for CRM lab.
69,10,2023-01-16,meeting,phone,45,no_answer,Synthetic interaction for CRM lab.
70,10,2023-01-31,chatbot,email,8,follow_up,Synthetic interaction for CRM lab.
71,10,2023-02-15,email,in_app,11,follow_up,Synthetic interaction for CRM lab.
72,11,2023-01-01,chatbot,phone,13,resolved,Synthetic interaction for CRM lab.
73,11,2023-01-16,chatbot,sms,37,no_answer,Synthetic interaction for CRM lab.
74,11,2023-01-31,meeting,email,7,no_answer,Synthetic interaction for CRM lab.
75,11,2023-02-15,meeting,in_app,23,escalated,Synthetic interaction for CRM lab.
76,11,2023-03-02,phone_call,whatsapp,5,answered,Synthetic interaction for CRM lab.
77,12,2023-01-01,meeting,sms,17,escalated,Synthetic interaction for CRM lab.
78,12,2023-01-16,phone_call,email,13,no_answer,Synthetic interaction for CRM lab.
79,13,2023-01-01,meeting,phone,6,follow_up,Synthetic interaction for CRM lab.
80,13,2023-01-16,phone_call,whatsapp,18,follow_up,Synthetic interaction for CRM lab.
81,13,2023-01-31,meeting,in_app,19,follow_up,Synthetic interaction for CRM lab.
82,13,2023-02-15,meeting,whatsapp,47,answered,Synthetic interaction for CRM lab.
83,13,2023-03-02,meeting,email,44,follow_up,Synthetic interaction for CRM lab.
84,13,2023-03-17,email,whatsapp,38,resolved,Synthetic interaction for CRM lab.
85,13,2023-04-01,whatsapp,email,25,follow_up,Synthetic interaction for CRM lab.
86,15,2023-01-01,phone_call,sms,16,resolved,Synthetic interaction for CRM lab.
87,15,2023-01-16,whatsapp,phone,17,escalated,Synthetic interaction for CRM lab.
88,15,2023-01-31,chatbot,whatsapp,10,no_answer,Synthetic interaction for CRM lab.
89,15,2023-02-15,meeting,email,6,no_answer,Synthetic interaction for CRM lab.
90,15,2023-03-02,chatbot,email,17,follow_up,Synthetic interaction for CRM lab.
91,15,2023-03-17,phone_call,whatsapp,34,resolved,Synthetic interaction for CRM lab.
92,15,2023-04-01,whatsapp,whatsapp,38,escalated,Synthetic interaction for CRM lab.
93,15,2023-04-16,whatsapp,phone,48,escalated,Synthetic interaction for CRM lab.
94,16,2023-01-01,whatsapp,whatsapp,20,follow_up,Synthetic interaction for CRM lab.
95,16,2023-01-16,email,in_app,1,escalated,Synthetic interaction for CRM lab.
96,16,2023-01-31,meeting,whatsapp,3,escalated,Synthetic interaction for CRM lab.
97,16,2023-02-15,whatsapp,email,27,resolved,Synthetic interaction for CRM lab.
98,16,2023-03-02,email,whatsapp,11,no_answer,Synthetic interaction for CRM lab.
99,16,2023-03-17,chatbot,email,50,resolved,Synthetic interaction for CRM lab.
100,17,2023-01-01,email,whatsapp,17,follow_up,Synthetic interaction for CRM lab.
101,17,2023-01-16,chatbot,whatsapp,47,follow_up,Synthetic interaction for CRM lab.
102,17,2023-01-31,meeting,in_app,31,answered,Synthetic interaction for CRM lab.
103,17,2023-02-15,meeting,sms,23,no_answer,Synthetic interaction for CRM lab.
104,17,2023-03-02,phone_call,phone,15,follow_up,Synthetic interaction for CRM lab.
105,18,2023-01-01,meeting,whatsapp,47,escalated,Synthetic interaction for CRM lab.
106,18,2023-01-16,email,phone,24,escalated,Synthetic interaction for CRM lab.
107,19,2023-01-01,meeting,email,13,answered,Synthetic interaction for CRM lab.
108,19,2023-01-16,phone_call,sms,14,answered,Synthetic interaction for CRM lab.
109,19,2023-01-31,chatbot,phone,18,escalated,Synthetic interaction for CRM lab.
110,19,2023-02-15,chatbot,email,38,follow_up,Synthetic interaction for CRM lab.
111,19,2023-03-02,phone_call,email,37,answered,Synthetic interaction for CRM lab.
112,19,2023-03-17,chatbot,sms,21,escalated,Synthetic interaction for CRM lab.
113,19,2023-04-01,chatbot,whatsapp,37,no_answer,Synthetic interaction for CRM lab.
114,19,2023-04-16,phone_call,email,43,answered,Synthetic interaction for CRM lab.
115,19,2023-05-01,phone_call,phone,4,escalated,Synthetic interaction for CRM lab.
116,19,2023-05-16,phone_call,email,39,answered,Synthetic interaction for CRM lab.
117,19,2023-05-31,chatbot,in_app,20,follow_up,Synthetic interaction for CRM lab.
118,19,2023-06-15,email,in_app,40,answered,Synthetic interaction for CRM lab.
119,19,2023-06-30,chatbot,phone,2,answered,Synthetic interaction for CRM lab.
120,19,2023-07-15,whatsapp,sms,22,no_answer,Synthetic interaction for CRM lab.
121,20,2023-01-01,chatbot,whatsapp,46,answered,Synthetic interaction for CRM lab.
122,20,2023-01-16,phone_call,email,33,answered,Synthetic interaction for CRM lab.
123,20,2023-01-31,meeting,sms,18,follow_up,Synthetic interaction for CRM lab.
124,20,2023-02-15,whatsapp,whatsapp,32,answered,Synthetic interaction for CRM lab.
125,20,2023-03-02,meeting,phone,41,resolved,Synthetic interaction for CRM lab.
126,20,2023-03-17,meeting,phone,23,no_answer,Synthetic interaction for CRM lab.
127,20,2023-04-01,phone_call,email,13,no_answer,Synthetic interaction for CRM lab.
128,22,2023-01-01,chatbot,email,37,follow_up,Synthetic interaction for CRM lab.
129,22,2023-01-16,chatbot,phone,17,no_answer,Synthetic interaction for CRM lab.
130,22,2023-01-31,whatsapp,phone,34,no_answer,Synthetic interaction for CRM lab.
131,22,2023-02-15,meeting,whatsapp,7,no_answer,Synthetic interaction for CRM lab.
132,22,2023-03-02,phone_call,phone,1,resolved,Synthetic interaction for CRM lab.
133,22,2023-03-17,email,sms,50,follow_up,Synthetic interaction for CRM lab.
134,23,2023-01-01,chatbot,phone,14,answered,Synthetic interaction for CRM lab.
135,23,2023-01-16,whatsapp,sms,42,follow_up,Synthetic interaction for CRM lab.
136,23,2023-01-31,whatsapp,sms,24,follow_up,Synthetic interaction for CRM lab.
137,23,2023-02-15,email,email,49,follow_up,Synthetic interaction for CRM lab.
138,23,2023-03-02,email,sms,35,escalated,Synthetic interaction for CRM lab.
139,23,2023-03-17,whatsapp,sms,29,follow_up,Synthetic interaction for CRM lab.
140,23,2023-04-01,email,phone,34,answered,Synthetic interaction for CRM lab.
141,23,2023-04-16,phone_call,phone,17,answered,Synthetic interaction for CRM lab.
142,23,2023-05-01,whatsapp,whatsapp,44,no_answer,Synthetic interaction for CRM lab.
143,23,2023-05-16,whatsapp,phone,1,resolved,Synthetic interaction for CRM lab.
144,23,2023-05-31,chatbot,in_app,6,escalated,Synthetic interaction for CRM lab.
145,23,2023-06-15,email,whatsapp,1,follow_up,Synthetic interaction for CRM lab.
146,23,2023-06-30,chatbot,in_app,16,resolved,Synthetic interaction for CRM lab.
147,25,2023-01-01,chatbot,phone,16,resolved,Synthetic interaction for CRM lab.
148,25,2023-01-16,email,sms,10,follow_up,Synthetic interaction for CRM lab.
149,25,2023-01-31,email,email,23,resolved,Synthetic interaction for CRM lab.
150,25,2023-02-15,chatbot,sms,15,no_answer,Synthetic interaction for CRM lab.
151,25,2023-03-02,chatbot,sms,14,follow_up,Synthetic interaction for CRM lab.
152,25,2023-03-17,phone_call,phone,50,escalated,Synthetic interaction for CRM lab.
153,25,2023-04-01,email,in_app,12,answered,Synthetic interaction for CRM lab.
154,25,2023-04-16,meeting,email,47,escalated,Synthetic interaction for CRM lab.
155,25,2023-05-01,phone_call,whatsapp,18,escalated,Synthetic interaction for CRM lab.
156,25,2023-05-16,email,phone,13,resolved,Synthetic interaction for CRM lab.
157,25,2023-05-31,whatsapp,phone,33,resolved,Synthetic interaction for CRM lab.
158,26,2023-01-01,whatsapp,email,5,escalated,Synthetic interaction for CRM lab.
159,26,2023-01-16,phone_call,phone,33,escalated,Synthetic interaction for CRM lab.
160,26,2023-01-31,phone_call,whatsapp,15,follow_up,Synthetic interaction for CRM lab.
161,26,2023-02-15,chatbot,phone,33,answered,Synthetic interaction for CRM lab.
162,26,2023-03-02,email,whatsapp,32,no_answer,Synthetic interaction for CRM lab.
163,26,2023-03-17,whatsapp,email,1,escalated,Synthetic interaction for CRM lab.
164,26,2023-04-01,meeting,phone,7,no_answer,Synthetic interaction for CRM lab.
165,26,2023-04-16,phone_call,sms,21,resolved,Synthetic interaction for CRM lab.
166,26,2023-05-01,email,email,10,follow_up,Synthetic interaction for CRM lab.
167,26,2023-05-16,phone_call,whatsapp,12,answered,Synthetic interaction for CRM lab.
168,26,2023-05-31,whatsapp,sms,17,follow_up,Synthetic interaction for CRM lab.
169,26,2023-06-15,phone_call,phone,2,resolved,Synthetic interaction for CRM lab.
170,26,2023-06-30,phone_call,in_app,15,answered,Synthetic interaction for CRM lab.
171,27,2023-01-01,meeting,phone,33,follow_up,Synthetic interaction for CRM lab.
172,27,2023-01-16,phone_call,email,37,follow_up,Synthetic interaction for CRM lab.
173,27,2023-01-31,chatbot,email,45,answered,Synthetic interaction for CRM lab.
174,27,2023-02-15,email,in_app,2,answered,Synthetic interaction for CRM lab.
175,27,2023-03-02,meeting,email,4,answered,Synthetic interaction for CRM lab.
176,27,2023-03-17,email,in_app,50,no_answer,Synthetic interaction for CRM lab.
177,27,2023-04-01,whatsapp,in_app,21,no_answer,Synthetic interaction for CRM lab.
178,28,2023-01-01,chatbot,phone,45,answered,Synthetic interaction for CRM lab.
179,28,2023-01-16,phone_call,phone,48,resolved,Synthetic interaction for CRM lab.
180,28,2023-01-31,chatbot,in_app,18,answered,Synthetic interaction for CRM lab.
181,28,2023-02-15,email,email,29,resolved,Synthetic interaction for CRM lab.
182,28,2023-03-02,phone_call,whatsapp,20,follow_up,Synthetic interaction for CRM lab.
183,28,2023-03-17,meeting,email,13,follow_up,Synthetic interaction for CRM lab.
184,28,2023-04-01,meeting,in_app,19,no_answer,Synthetic interaction for CRM lab.
185,29,2023-01-01,phone_call,email,26,no_answer,Synthetic interaction for CRM lab.
186,29,2023-01-16,meeting,email,18,escalated,Synthetic interaction for CRM lab.
187,29,2023-01-31,whatsapp,phone,33,no_answer,Synthetic interaction for CRM lab.
188,29,2023-02-15,whatsapp,email,44,answered,Synthetic interaction for CRM lab.
189,32,2023-01-01,email,whatsapp,43,answered,Synthetic interaction for CRM lab.
190,32,2023-01-16,phone_call,whatsapp,8,resolved,Synthetic interaction for CRM lab.
191,32,2023-01-31,meeting,in_app,7,resolved,Synthetic interaction for CRM lab.
192,32,2023-02-15,chatbot,email,49,answered,Synthetic interaction for CRM lab.
193,32,2023-03-02,phone_call,phone,8,escalated,Synthetic interaction for CRM lab.
194,32,2023-03-17,meeting,sms,16,answered,Synthetic interaction for CRM lab.
195,32,2023-04-01,whatsapp,phone,26,answered,Synthetic interaction for CRM lab.
196,32,2023-04-16,phone_call,email,45,resolved,Synthetic interaction for CRM lab.
197,32,2023-05-01,whatsapp,sms,4,escalated,Synthetic interaction for CRM lab.
198,32,2023-05-16,phone_call,whatsapp,2,resolved,Synthetic interaction for CRM lab.
199,32,2023-05-31,email,sms,26,resolved,Synthetic interaction for CRM lab.
200,32,2023-06-15,email,in_app,14,no_answer,Synthetic interaction for CRM lab.
201,33,2023-01-01,phone_call,in_app,28,resolved,Synthetic interaction for CRM lab.
202,33,2023-01-16,phone_call,phone,9,escalated,Synthetic interaction for CRM lab.
203,33,2023-01-31,email,sms,2,resolved,Synthetic interaction for CRM lab.
204,33,2023-02-15,meeting,whatsapp,46,follow_up,Synthetic interaction for CRM lab.
205,33,2023-03-02,meeting,phone,36,follow_up,Synthetic interaction for CRM lab.
206,33,2023-03-17,phone_call,sms,46,escalated,Synthetic interaction for CRM lab.
207,33,2023-04-01,meeting,phone,12,resolved,Synthetic interaction for CRM lab.
208,33,2023-04-16,whatsapp,in_app,40,follow_up,Synthetic interaction for CRM lab.
209,33,2023-05-01,meeting,whatsapp,43,escalated,Synthetic interaction for CRM lab.
210,33,2023-05-16,whatsapp,in_app,11,follow_up,Synthetic interaction for CRM lab.
211,33,2023-05-31,phone_call,in_app,23,escalated,Synthetic interaction for CRM lab.
212,33,2023-06-15,chatbot,email,15,follow_up,Synthetic interaction for CRM lab.
213,34,2023-01-01,email,phone,21,escalated,Synthetic interaction for CRM lab.
214,34,2023-01-16,email,whatsapp,38,no_answer,Synthetic interaction for CRM lab.
215,34,2023-01-31,chatbot,whatsapp,14,no_answer,Synthetic interaction for CRM lab.
216,34,2023-02-15,meeting,sms,46,no_answer,Synthetic interaction for CRM lab.
217,34,2023-03-02,email,phone,17,answered,Synthetic interaction for CRM lab.
218,34,2023-03-17,whatsapp,whatsapp,1,resolved,Synthetic interaction for CRM lab.
219,34,2023-04-01,meeting,phone,13,no_answer,Synthetic interaction for CRM lab.
220,34,2023-04-16,phone_call,in_app,22,answered,Synthetic interaction for CRM lab.
221,34,2023-05-01,meeting,phone,5,follow_up,Synthetic interaction for CRM lab.
222,34,2023-05-16,phone_call,sms,17,no_answer,Synthetic interaction for CRM lab.
223,34,2023-05-31,phone_call,in_app,11,answered,Synthetic interaction for CRM lab.
224,34,2023-06-15,meeting,email,2,no_answer,Synthetic interaction for CRM lab.
225,34,2023-06-30,whatsapp,sms,36,no_answer,Synthetic interaction for CRM lab.
226,35,2023-01-01,meeting,sms,29,no_answer,Synthetic interaction for CRM lab.
227,35,2023-01-16,meeting,in_app,14,no_answer,Synthetic interaction for CRM lab.
228,35,2023-01-31,chatbot,in_app,44,no_answer,Synthetic interaction for CRM lab.
229,35,2023-02-15,meeting,email,1,no_answer,Synthetic interaction for CRM lab.
230,35,2023-03-02,chatbot,sms,22,resolved,Synthetic interaction for CRM lab.
231,36,2023-01-01,phone_call,email,50,follow_up,Synthetic interaction for CRM lab.
232,36,2023-01-16,phone_call,in_app,6,escalated,Synthetic interaction for CRM lab.
233,36,2023-01-31,email,email,18,resolved,Synthetic interaction for CRM lab.
234,36,2023-02-15,email,sms,32,resolved,Synthetic interaction for CRM lab.
235,36,2023-03-02,phone_call,whatsapp,10,answered,Synthetic interaction for CRM lab.
236,36,2023-03-17,meeting,phone,32,no_answer,Synthetic interaction for CRM lab.
237,36,2023-04-01,phone_call,email,11,no_answer,Synthetic interaction for CRM lab.
238,36,2023-04-16,email,sms,40,escalated,Synthetic interaction for CRM lab.
239,36,2023-05-01,email,in_app,2,no_answer,Synthetic interaction for CRM lab.
240,36,2023-05-16,email,in_app,34,resolved,Synthetic interaction for CRM lab.
241,37,2023-01-01,whatsapp,phone,18,escalated,Synthetic interaction for CRM lab.
242,37,2023-01-16,meeting,in_app,10,resolved,Synthetic interaction for CRM lab.
243,37,2023-01-31,email,whatsapp,2,no_answer,Synthetic interaction for CRM lab.
244,38,2023-01-01,meeting,email,47,escalated,Synthetic interaction for CRM lab.
245,38,2023-01-16,email,sms,42,follow_up,Synthetic interaction for CRM lab.
246,38,2023-01-31,phone_call,in_app,30,follow_up,Synthetic interaction for CRM lab.
247,38,2023-02-15,phone_call,whatsapp,16,answered,Synthetic interaction for CRM lab.
248,38,2023-03-02,meeting,phone,8,no_answer,Synthetic interaction for CRM lab.
249,38,2023-03-17,email,in_app,26,escalated,Synthetic interaction for CRM lab.
250,38,2023-04-01,whatsapp,in_app,3,no_answer,Synthetic interaction for CRM lab.
251,38,2023-04-16,whatsapp,phone,12,no_answer,Synthetic interaction for CRM lab.
252,38,2023-05-01,whatsapp,sms,28,no_answer,Synthetic interaction for CRM lab.
253,38,2023-05-16,chatbot,in_app,22,resolved,Synthetic interaction for CRM lab.
254,39,2023-01-01,chatbot,phone,26,resolved,Synthetic interaction for CRM lab.
255,39,2023-01-16,meeting,email,32,escalated,Synthetic interaction for CRM lab.
256,40,2023-01-01,chatbot,whatsapp,10,resolved,Synthetic interaction for CRM lab.
257,40,2023-01-16,chatbot,email,46,no_answer,Synthetic interaction for CRM lab.
258,40,2023-01-31,phone_call,sms,32,follow_up,Synthetic interaction for CRM lab.
259,40,2023-02-15,meeting,in_app,6,answered,Synthetic interaction for CRM lab.
260,40,2023-03-02,meeting,whatsapp,44,no_answer,Synthetic interaction for CRM lab.
261,40,2023-03-17,chatbot,in_app,23,escalated,Synthetic interaction for CRM lab.
262,40,2023-04-01,chatbot,in_app,45,answered,Synthetic interaction for CRM lab.
263,40,2023-04-16,whatsapp,in_app,23,follow_up,Synthetic interaction for CRM lab.
264,40,2023-05-01,chatbot,sms,40,escalated,Synthetic interaction for CRM lab.
265,40,2023-05-16,phone_call,email,44,resolved,Synthetic interaction for CRM lab.
266,40,2023-05-31,phone_call,in_app,48,answered,Synthetic interaction for CRM lab.
267,40,2023-06-15,meeting,email,12,escalated,Synthetic interaction for CRM lab.
268,40,2023-06-30,meeting,sms,35,escalated,Synthetic interaction for CRM lab.
269,41,2023-01-01,phone_call,in_app,39,no_answer,Synthetic interaction for CRM lab.
270,41,2023-01-16,chatbot,phone,14,follow_up,Synthetic interaction for CRM lab.
271,42,2023-01-01,meeting,in_app,33,answered,Synthetic interaction for CRM lab.
272,42,2023-01-16,chatbot,whatsapp,10,follow_up,Synthetic interaction for CRM lab.
273,42,2023-01-31,email,in_app,29,follow_up,Synthetic interaction for CRM lab.
274,42,2023-02-15,whatsapp,phone,12,resolved,Synthetic interaction for CRM lab.
275,42,2023-03-02,phone_call,sms,25,resolved,Synthetic interaction for CRM lab.
276,42,2023-03-17,phone_call,sms,37,follow_up,Synthetic interaction for CRM lab.
277,42,2023-04-01,email,in_app,18,follow_up,Synthetic interaction for CRM lab.
278,42,2023-04-16,whatsapp,email,34,answered,Synthetic interaction for CRM lab.
279,42,2023-05-01,meeting,in_app,41,escalated,Synthetic interaction for CRM lab.
280,42,2023-05-16,phone_call,sms,42,resolved,Synthetic interaction for CRM lab.
281,43,2023-01-01,chatbot,phone,42,answered,Synthetic interaction for CRM lab.
282,43,2023-01-16,phone_call,email,48,follow_up,Synthetic interaction for CRM lab.
283,43,2023-01-31,whatsapp,whatsapp,46,no_answer,Synthetic interaction for CRM lab.
284,43,2023-02-15,phone_call,email,38,resolved,Synthetic interaction for CRM lab.
285,44,2023-01-01,whatsapp,email,4,no_answer,Synthetic interaction for CRM lab.
286,46,2023-01-01,whatsapp,whatsapp,34,answered,Synthetic interaction for CRM lab.
287,47,2023-01-01,phone_call,email,47,escalated,Synthetic interaction for CRM lab.
288,47,2023-01-16,whatsapp,sms,16,resolved,Synthetic interaction for CRM lab.
289,47,2023-01-31,meeting,whatsapp,22,answered,Synthetic interaction for CRM lab.
290,47,2023-02-15,phone_call,email,50,resolved,Synthetic interaction for CRM lab.
291,47,2023-03-02,email,sms,21,resolved,Synthetic interaction for CRM lab.
292,47,2023-03-17,meeting,phone,23,escalated,Synthetic interaction for CRM lab.
293,47,2023-04-01,meeting,sms,16,escalated,Synthetic interaction for CRM lab.
294,47,2023-04-16,chatbot,email,50,escalated,Synthetic interaction for CRM lab.
295,47,2023-05-01,chatbot,whatsapp,30,escalated,Synthetic interaction for CRM lab.
296,47,2023-05-16,phone_call,sms,36,resolved,Synthetic interaction for CRM lab.
297,47,2023-05-31,meeting,whatsapp,45,resolved,Synthetic interaction for CRM lab.
298,47,2023-06-15,email,sms,4,follow_up,Synthetic interaction for CRM lab.
299,48,2023-01-01,phone_call,in_app,10,no_answer,Synthetic interaction for CRM lab.
300,48,2023-01-16,email,in_app,39,escalated,Synthetic interaction for CRM lab.
301,49,2023-01-01,phone_call,phone,38,follow_up,Synthetic interaction for CRM lab.
302,49,2023-01-16,meeting,whatsapp,21,answered,Synthetic interaction for CRM lab.
303,49,2023-01-31,meeting,email,39,escalated,Synthetic interaction for CRM lab.
304,49,2023-02-15,chatbot,email,9,answered,Synthetic interaction for CRM lab.
305,49,2023-03-02,chatbot,phone,31,resolved,Synthetic interaction for CRM lab.
306,49,2023-03-17,chatbot,whatsapp,19,resolved,Synthetic interaction for CRM lab.
307,49,2023-04-01,phone_call,email,13,answered,Synthetic interaction for CRM lab.
308,49,2023-04-16,chatbot,whatsapp,49,resolved,Synthetic interaction for CRM lab.
309,49,2023-05-01,phone_call,sms,10,answered,Synthetic interaction for CRM lab.
310,49,2023-05-16,email,phone,27,escalated,Synthetic interaction for CRM lab.
311,51,2023-01-01,meeting,sms,38,answered,Synthetic interaction for CRM lab.
312,51,2023-01-16,meeting,in_app,21,no_answer,Synthetic interaction for CRM lab.
313,51,2023-01-31,email,in_app,19,answered,Synthetic interaction for CRM lab.
314,51,2023-02-15,email,in_app,3,no_answer,Synthetic interaction for CRM lab.
315,51,2023-03-02,chatbot,whatsapp,41,follow_up,Synthetic interaction for CRM lab.
316,51,2023-03-17,email,in_app,38,escalated,Synthetic interaction for CRM lab.
317,51,2023-04-01,meeting,sms,44,escalated,Synthetic interaction for CRM lab.
318,51,2023-04-16,phone_call,in_app,48,follow_up,Synthetic interaction for CRM lab.
319,51,2023-05-01,chatbot,in_app,49,answered,Synthetic interaction for CRM lab.
320,51,2023-05-16,email,in_app,2,follow_up,Synthetic interaction for CRM lab.
321,51,2023-05-31,whatsapp,phone,42,follow_up,Synthetic interaction for CRM lab.
322,51,2023-06-15,meeting,email,17,follow_up,Synthetic interaction for CRM lab.
323,53,2023-01-01,meeting,whatsapp,17,escalated,Synthetic interaction for CRM lab.
324,53,2023-01-16,phone_call,in_app,7,answered,Synthetic interaction for CRM lab.
325,54,2023-01-01,meeting,in_app,4,answered,Synthetic interaction for CRM lab.
326,54,2023-01-16,chatbot,sms,4,escalated,Synthetic interaction for CRM lab.
327,54,2023-01-31,email,sms,24,escalated,Synthetic interaction for CRM lab.
328,54,2023-02-15,phone_call,phone,19,resolved,Synthetic interaction for CRM lab.
329,54,2023-03-02,phone_call,email,30,follow_up,Synthetic interaction for CRM lab.
330,54,2023-03-17,whatsapp,email,1,resolved,Synthetic interaction for CRM lab.
331,54,2023-04-01,email,sms,24,resolved,Synthetic interaction for CRM lab.
332,55,2023-01-01,whatsapp,whatsapp,19,escalated,Synthetic interaction for CRM lab.
333,55,2023-01-16,meeting,sms,1,escalated,Synthetic interaction for CRM lab.
334,55,2023-01-31,email,in_app,1,no_answer,Synthetic interaction for CRM lab.
335,55,2023-02-15,whatsapp,whatsapp,32,resolved,Synthetic interaction for CRM lab.
336,55,2023-03-02,phone_call,whatsapp,28,no_answer,Synthetic interaction for CRM lab.
337,55,2023-03-17,whatsapp,email,29,no_answer,Synthetic interaction for CRM lab.
338,55,2023-04-01,meeting,phone,7,resolved,Synthetic interaction for CRM lab.
