session_id,user_id,visit_date,device,country,traffic_source,landing_page,session_duration,pages_viewed,engaged_session
108,503,2023-06-09,mobile,Spain,email,/cart,807,4,1
109,4494,2023-06-18,mobile,Brazil,direct,/blog,632,5,1
110,871,2023-05-23,mobile,Colombia,referral,/products,459,9,1
111,4489,2023-01-31,desktop,USA,email,/contact,249,5,1
112,207,2023-05-07,tablet,Mexico,paid_social,/home,795,9,1
113,1485,2023-01-06,mobile,USA,direct,/products/category,133,5,1
114,864,2023-03-30,desktop,Colombia,direct,/products,676,9,1
115,2791,2023-06-29,tablet,USA,referral,/products,102,6,1
116,564,2023-05-30,tablet,Colombia,paid_social,/home,698,10,1
117,4192,2023-01-31,tablet,Mexico,paid_search,/checkout,118,1,1
118,1758,2023-04-10,mobile,Mexico,paid_search,/cart,338,4,1
119,1679,2023-03-14,mobile,Spain,email,/products/category,713,10,1
120,3243,2023-02-15,tablet,Brazil,direct,/blog,220,10,1
121,4637,2023-04-07,tablet,USA,paid_social,/contact,409,3,1
122,1060,2023-06-20,desktop,Brazil,referral,/products,848,9,1
123,1723,2023-01-01,desktop,USA,direct,/checkout,838,1,1
124,3315,2023-06-21,tablet,Spain,referral,/home,387,7,1
125,3158,2023-02-26,desktop,Spain,referral,/products,462,11,1
126,2626,2023-01-09,tablet,Mexico,paid_social,/checkout,145,1,1
127,2730,2023-01-05,desktop,Mexico,paid_search,/blog,739,6,1
128,1598,2023-03-20,tablet,Mexico,paid_search,/cart,562,2,1
129,3061,2023-04-24,mobile,USA,email,/home,380,7,1
130,2694,2023-01-09,tablet,Brazil,referral,/checkout,37,2,0
131,4892,2023-06-22,mobile,Brazil,referral,/contact,557,3,1
132,3628,2023-01-24,tablet,Mexico,paid_social,/checkout,732,10,1
133,1364,2023-06-19,mobile,Spain,referral,/products,517,5,1
134,1982,2023-05-30,desktop,Brazil,paid_search,/blog,269,5,1
135,1664,2023-04-13,mobile,Spain,organic,/blog,191,6,1
136,1530,2023-03-01,desktop,Mexico,paid_search,/contact,125,7,1
137,2039,2023-03-27,tablet,USA,direct,/cart,92,7,1
138,3303,2023-06-14,desktop,Colombia,referral,/blog,542,1,1
139,2238,2023-04-26,desktop,Brazil,referral,/contact,555,6,1
140,1307,2023-06-16,desktop,Mexico,referral,/contact,826,1,1
141,4030,2023-03-25,tablet,Mexico,paid_social,/home,377,6,1
142,2676,2023-03-31,mobile,Brazil,referral,/home,154,9,1
143,1283,2023-03-30,desktop,Colombia,organic,/cart,357,4,1
144,710,2023-06-30,tablet,USA,referral,/products/category,484,2,1
145,4745,2023-04-30,desktop,Brazil,paid_search,/products,741,4,1
146,4414,2023-06-05,mobile,USA,paid_search,/contact,474,7,1
147,3749,2023-05-23,desktop,Mexico,paid_social,/checkout,468,3,1
148,4780,2023-01-06,desktop,Brazil,organic,/contact,359,10,1
149,664,2023-02-21,desktop,USA,paid_social,/products,349,6,1
150,1999,2023-05-20,mobile,Spain,paid_search,/contact,615,10,1
151,3446,2023-01-19,mobile,Spain,email,/cart,541,2,1
152,3744,2023-03-16,tablet,Spain,paid_social,/checkout,626,2,1
153,1496,2023-05-10,desktop,USA,referral,/products/category,617,1,1
154,3305,2023-02-24,desktop,Spain,paid_search,/blog,373,10,1
155,3764,2023-01-15,desktop,Mexico,paid_social,/cart,127,2,1
156,1854,2023-04-10,desktop,USA,paid_search,/products,441,7,1
157,4660,2023-03-10,mobile,Mexico,paid_social,/checkout,270,11,1
158,1292,2023-05-23,mobile,Colombia,paid_search,/home,724,5,1
159,3582,2023-02-12,desktop,USA,organic,/checkout,406,4,1
160,3458,2023-01-17,desktop,Spain,direct,/checkout,113,7,1
161,1637,2023-04-08,desktop,Spain,direct,/cart,822,9,1
162,3697,2023-04-26,desktop,Colombia,paid_social,/products/category,545,8,1
163,3000,2023-06-01,tablet,Brazil,referral,/checkout,318,11,1
164,3153,2023-03-15,tablet,Colombia,paid_search,/blog,776,10,1
165,699,2023-04-26,desktop,Spain,direct,/checkout,72,11,1
166,2161,2023-01-30,desktop,Spain,direct,/contact,83,2,1
167,4098,2023-03-08,desktop,Brazil,paid_social,/contact,771,1,1
168,4738,2023-02-20,tablet,Colombia,referral,/products/category,648,9,1
169,855,2023-03-01,mobile,Mexico,paid_social,/products/category,17,3,0
170,3475,2023-01-03,tablet,Colombia,paid_social,/blog,182,9,1
171,1708,2023-04-14,tablet,Mexico,email,/checkout,57,7,1
172,2778,2023-01-05,desktop,Spain,organic,/home,60,6,1
173,1734,2023-01-28,desktop,Spain,organic,/home,842,3,1
174,4932,2023-04-18,mobile,Colombia,organic,/home,329,3,1
175,3511,2023-05-19,desktop,Spain,paid_search,/cart,59,11,1
176,203,2023-04-11,desktop,Brazil,paid_search,/cart,805,1,1
177,3256,2023-03-17,mobile,USA,organic,/home,422,5,1
178,4219,2023-01-15,desktop,Mexico,paid_social,/home,585,10,1
179,4497,2023-03-24,desktop,Spain,email,/home,756,5,1
180,767,2023-02-17,desktop,Mexico,organic,/products/category,574,10,1
181,4390,2023-05-07,tablet,Colombia,referral,/contact,808,1,1
182,2328,2023-02-15,desktop,Brazil,paid_social,/products,785,7,1
183,2932,2023-01-28,tablet,Mexico,direct,/cart,864,11,1
184,198,2023-01-07,desktop,Spain,email,/contact,139,8,1
185,1931,2023-04-04,desktop,USA,paid_search,/cart,61,2,1
186,3583,2023-03-23,tablet,Brazil,direct,/cart,653,8,1
187,609,2023-03-29,tablet,Colombia,direct,/products,798,10,1
188,3273,2023-05-14,desktop,Spain,referral,/checkout,869,1,1
189,1148,2023-03-09,mobile,Brazil,referral,/cart,315,10,1
190,4283,2023-02-24,desktop,Spain,referral,/checkout,539,1,1
191,3398,2023-06-26,tablet,Colombia,direct,/products/category,873,11,1
192,2512,2023-04-28,desktop,Colombia,paid_social,/contact,700,11,1
193,1795,2023-06-28,desktop,USA,organic,/home,158,10,1
194,660,2023-05-14,tablet,Brazil,direct,/home,632,5,1
195,2812,2023-04-18,mobile,USA,organic,/products/category,591,8,1
196,1370,2023-02-20,mobile,USA,direct,/home,437,9,1
197,1987,2023-02-07,tablet,USA,paid_social,/products/category,593,7,1
198,147,2023-05-19,tablet,Mexico,organic,/home,568,8,1
199,3220,2023-06-29,desktop,Colombia,paid_search,/products/category,454,5,1
200,2912,2023-04-03,tablet,USA,email,/products/category,705,10,1
201,1735,2023-01-20,tablet,Mexico,direct,/home,276,6,1
202,1844,2023-01-10,desktop,Mexico,direct,/checkout,865,7,1
203,489,2023-01-26,desktop,Mexico,paid_social,/cart,664,9,1
204,2977,2023-02-17,desktop,USA,email,/cart,612,3,1
205,1960,2023-04-01,mobile,Mexico,referral,/contact,256,7,1
206,2386,2023-04-24,mobile,USA,organic,/products,77,1,1
207,2920,2023-01-14,tablet,Brazil,direct,/blog,648,9,1
208,4737,2023-04-10,desktop,Colombia,paid_search,/blog,310,6,1
209,1803,2023-01-12,tablet,Spain,referral,/products,814,3,1
210,4062,2023-04-26,tablet,USA,referral,/home,627,2,1
211,3370,2023-05-03,mobile,Colombia,paid_search,/cart,500,5,1
212,263,2023-01-23,mobile,USA,paid_social,/blog,654,3,1
213,624,2023-03-26,tablet,Brazil,referral,/products,60,2,1
214,1017,2023-03-13,desktop,Colombia,direct,/cart,207,2,1
215,3644,2023-06-16,mobile,Colombia,paid_social,/contact,838,11,1
216,4977,2023-05-02,mobile,Mexico,email,/products/category,224,2,1
217,2050,2023-05-17,mobile,USA,paid_search,/checkout,706,5,1
218,3724,2023-04-05,tablet,USA,paid_search,/products/category,144,3,1
219,4549,2023-01-25,mobile,Spain,paid_social,/products,556,6,1
220,3109,2023-01-17,desktop,Mexico,email,/products,817,10,1
221,4091,2023-06-19,mobile,Mexico,referral,/home,764,3,1
222,2057,2023-01-29,tablet,Spain,organic,/checkout,742,5,1
223,3171,2023-03-08,tablet,Mexico,email,/blog,552,8,1
224,1683,2023-03-26,tablet,Mexico,paid_social,/contact,438,8,1
225,2256,2023-02-26,tablet,Brazil,referral,/contact,826,4,1
226,1155,2023-03-13,desktop,Colombia,referral,/checkout,555,7,1
227,4500,2023-01-14,tablet,Spain,referral,/cart,394,1,1
228,3192,2023-02-08,mobile,Brazil,paid_social,/home,325,2,1
229,1697,2023-05-24,desktop,Brazil,email,/checkout,493,1,1
230,3992,2023-01-18,tablet,Brazil,paid_social,/products,528,4,1
231,4724,2023-03-16,tablet,Mexico,paid_search,/products/category,258,6,1
232,4683,2023-04-12,desktop,Spain,paid_social,/products/category,517,2,1
233,1649,2023-01-20,mobile,Mexico,organic,/contact,88,2,1
234,1446,2023-04-27,desktop,Mexico,paid_search,/blog,168,7,1
235,4200,2023-06-23,mobile,Brazil,direct,/checkout,682,8,1
236,3924,2023-04-27,mobile,USA,paid_search,/products/category,436,2,1
237,254,2023-06-22,tablet,Spain,paid_search,/products,775,8,1
238,3184,2023-01-04,desktop,Spain,paid_search,/contact,513,4,1
239,2558,2023-03-25,desktop,Brazil,referral,/cart,694,6,1
240,99,2023-05-28,tablet,Brazil,email,/products,177,2,1
241,2201,2023-05-19,tablet,Colombia,direct,/contact,152,9,1
242,2962,2023-04-24,mobile,Brazil,organic,/checkout,754,8,1
243,4974,2023-03-06,tablet,Mexico,paid_search,/contact,690,10,1
244,4434,2023-05-26,desktop,Brazil,email,/blog,332,4,1
245,3778,2023-06-16,tablet,Spain,paid_social,/contact,143,3,1
246,2870,2023-02-13,tablet,USA,direct,/products,880,1,1
247,3235,2023-04-28,tablet,USA,referral,/products,444,5,1
248,3792,2023-04-10,tablet,Mexico,organic,/products/category,546,11,1
249,957,2023-01-18,tablet,USA,direct,/blog,64,3,1
250,4068,2023-06-24,mobile,Brazil,organic,/cart,184,4,1
251,161,2023-06-08,tablet,USA,organic,/blog,24,2,0
252,4494,2023-05-08,tablet,Brazil,paid_social,/home,114,9,1
253,1301,2023-06-16,desktop,Colombia,organic,/checkout,290,4,1
254,4912,2023-02-07,tablet,Spain,paid_social,/checkout,305,11,1
255,3988,2023-06-24,desktop,Mexico,paid_search,/products,208,4,1
256,1528,2023-05-16,desktop,Colombia,direct,/products/category,272,10,1
257,1219,2023-04-14,desktop,USA,organic,/products/category,376,5,1
258,4497,2023-01-13,desktop,Mexico,paid_social,/checkout,811,8,1
259,4736,2023-02-24,mobile,Brazil,paid_search,/blog,70,8,1
260,3105,2023-03-29,mobile,Colombia,direct,/home,219,5,1
261,2736,2023-03-26,desktop,Spain,paid_search,/home,894,4,1
262,4556,2023-04-19,mobile,Spain,email,/cart,692,7,1
263,955,2023-02-12,mobile,Colombia,direct,/products,273,10,1
264,4566,2023-05-12,tablet,Colombia,paid_social,/checkout,834,3,1
265,3447,2023-03-12,mobile,Colombia,organic,/blog,534,1,1
266,1046,2023-01-12,desktop,USA,paid_social,/home,151,3,1
267,1694,2023-02-28,desktop,Spain,referral,/contact,159,7,1
268,3437,2023-02-13,desktop,Spain,paid_social,/home,505,6,1
269,563,2023-01-16,desktop,USA,paid_social,/products/category,34,10,0
270,2486,2023-05-14,tablet,Mexico,direct,/cart,645,1,1
271,3355,2023-01-14,mobile,Spain,direct,/checkout,465,2,1
272,226,2023-04-25,desktop,Mexico,email,/cart,447,3,1
273,4894,2023-04-22,tablet,Mexico,referral,/home,140,10,1
274,960,2023-05-03,desktop,Mexico,paid_search,/cart,579,10,1
275,4549,2023-02-27,mobile,Spain,referral,/contact,666,11,1
276,3068,2023-06-08,tablet,Brazil,paid_social,/home,152,5,1
277,816,2023-06-18,mobile,Mexico,email,/blog,850,9,1
278,4755,2023-04-30,tablet,Brazil,email,/products/category,658,8,1
279,4643,2023-02-04,desktop,USA,direct,/blog,852,11,1
280,3121,2023-01-10,desktop,Brazil,paid_search,/products,151,1,1
281,17,2023-03-22,mobile,Brazil,email,/contact,811,8,1
282,1244,2023-06-07,mobile,Colombia,organic,/checkout,896,4,1
283,2206,2023-02-13,tablet,Mexico,email,/products,609,5,1
284,2525,2023-03-12,mobile,Spain,direct,/cart,298,5,1
285,1070,2023-01-18,mobile,Colombia,paid_social,/home,461,3,1
286,3445,2023-03-24,desktop,Brazil,direct,/products,310,8,1
287,2566,2023-03-20,desktop,USA,direct,/products/category,394,3,1
288,1061,2023-03-27,desktop,Spain,paid_search,/contact,30,1,0
289,2328,2023-06-16,desktop,USA,referral,/blog,693,11,1
290,3421,2023-02-11,desktop,Brazil,organic,/cart,104,5,1
291,302,2023-05-04,desktop,USA,organic,/cart,536,8,1
292,4277,2023-01-30,desktop,Colombia,referral,/contact,365,6,1
293,607,2023-01-20,tablet,USA,paid_search,/products,669,5,1
294,3171,2023-05-06,desktop,Colombia,paid_search,/cart,652,1,1
295,700,2023-04-06,desktop,Mexico,email,/checkout,627,3,1
296,1140,2023-05-05,desktop,Spain,referral,/products,108,3,1
297,191,2023-02-11,desktop,USA,organic,/products,415,9,1
298,2301,2023-03-30,desktop,Colombia,direct,/blog,644,8,1
299,981,2023-03-28,mobile,Brazil,referral,/products/category,25,9,0
300,2976,2023-01-05,mobile,Brazil,email,/contact,207,2,1
301,1185,2023-02-19,desktop,Colombia,organic,/cart,471,9,1
302,3328,2023-02-10,desktop,Spain,referral,/products/category,691,8,1
303,3395,2023-04-04,desktop,Mexico,paid_social,/cart,94,3,1
304,128,2023-06-16,tablet,Mexico,direct,/products,75,8,1
305,2066,2023-02-26,desktop,Spain,referral,/contact,657,11,1
306,1817,2023-06-14,tablet,USA,direct,/cart,756,5,1
307,570,2023-05-15,tablet,Colombia,email,/contact,604,10,1
308,1896,2023-05-13,desktop,Mexico,organic,/contact,372,9,1
309,2734,2023-02-20,mobile,Spain,paid_search,/products/category,156,2,1
310,3864,2023-04-16,desktop,Mexico,paid_social,/contact,742,1,1
311,4722,2023-05-16,desktop,Mexico,direct,/products,43,11,0
312,4015,2023-01-11,mobile,USA,paid_search,/blog,712,2,1
313,2902,2023-05-30,mobile,Mexico,paid_search,/cart,88,2,1
314,1687,2023-04-08,desktop,Colombia,paid_search,/products/category,209,6,1
315,3010,2023-04-09,desktop,Spain,paid_search,/contact,573,9,1
316,155,2023-05-19,tablet,USA,email,/blog,827,11,1
317,2538,2023-04-06,mobile,USA,referral,/cart,320,9,1
318,1410,2023-04-16,tablet,Spain,referral,/blog,825,11,1
319,4058,2023-05-23,tablet,Colombia,direct,/products/category,873,6,1
320,785,2023-06-15,tablet,Mexico,paid_search,/checkout,155,3,1
321,3176,2023-01-01,tablet,Mexico,paid_search,/products/category,688,4,1
322,4342,2023-02-15,mobile,Colombia,organic,/home,81,5,1
323,2807,2023-03-29,mobile,Brazil,direct,/contact,884,2,1
324,538,2023-06-20,mobile,Spain,referral,/cart,426,10,1
325,1842,2023-01-22,desktop,Colombia,paid_social,/home,318,9,1
326,2456,2023-01-03,tablet,Mexico,paid_search,/checkout,891,1,1
327,525,2023-05-22,desktop,Spain,email,/products/category,881,1,1
328,2951,2023-05-10,mobile,Spain,referral,/blog,168,5,1
329,4132,2023-03-02,mobile,Mexico,paid_search,/products,572,11,1
330,4781,2023-06-09,desktop,Colombia,paid_search,/products,173,4,1
331,4116,2023-02-07,tablet,Brazil,referral,/blog,393,10,1
332,2369,2023-02-15,mobile,Spain,paid_search,/products/category,591,6,1
333,3848,2023-06-19,tablet,Spain,direct,/checkout,516,10,1
334,4496,2023-05-14,tablet,Spain,direct,/blog,148,9,1
335,2702,2023-02-10,mobile,Colombia,paid_search,/contact,336,1,1
336,972,2023-06-02,desktop,Spain,email,/products/category,789,11,1
337,1167,2023-05-19,tablet,Mexico,paid_social,/blog,163,1,1
338,4930,2023-04-20,desktop,Mexico,organic,/products,204,7,1
339,2775,2023-02-10,tablet,USA,paid_social,/products,273,3,1
340,1983,2023-02-26,tablet,Spain,referral,/products,891,10,1
341,854,2023-06-23,mobile,Brazil,email,/contact,155,10,1
342,4147,2023-05-03,desktop,USA,referral,/products/category,265,10,1
343,3737,2023-03-27,tablet,Spain,referral,/checkout,263,3,1
344,3770,2023-06-25,desktop,Spain,referral,/checkout,643,9,1
345,575,2023-03-04,tablet,Colombia,referral,/contact,457,5,1
346,3262,2023-02-08,desktop,Colombia,email,/checkout,814,7,1
347,1149,2023-05-18,desktop,Mexico,paid_social,/contact,302,6,1
348,1716,2023-06-13,mobile,USA,paid_social,/blog,285,1,1
349,4778,2023-01-27,tablet,USA,referral,/contact,612,4,1
350,4934,2023-03-22,tablet,USA,paid_search,/products,596,8,1
351,3855,2023-06-30,tablet,Mexico,paid_social,/cart,79,7,1
352,2492,2023-04-17,tablet,Brazil,referral,/blog,668,5,1
353,2661,2023-02-05,mobile,Brazil,paid_social,/products/category,621,5,1
354,3125,2023-03-26,mobile,Brazil,paid_search,/contact,604,9,1
355,3052,2023-06-04,tablet,USA,email,/products,130,9,1
356,5,2023-06-18,desktop,Spain,direct,/checkout,442,6,1
357,4870,2023-01-28,mobile,USA,paid_search,/products/category,427,9,1
358,877,2023-01-16,desktop,Spain,paid_social,/blog,320,7,1
359,992,2023-02-04,desktop,Colombia,organic,/checkout,385,11,1
360,4143,2023-06-13,desktop,Mexico,paid_social,/home,50,6,1
361,4365,2023-04-09,tablet,Brazil,organic,/products,449,2,1
362,4466,2023-05-27,mobile,USA,paid_search,/contact,434,3,1
363,636,2023-05-02,tablet,USA,direct,/checkout,342,11,1
364,1694,2023-06-10,desktop,Colombia,direct,/home,469,9,1
365,1683,2023-01-23,tablet,Spain,organic,/checkout,581,1,1
366,4753,2023-04-29,desktop,Brazil,email,/products,656,7,1
367,120,2023-03-04,tablet,Mexico,organic,/cart,91,1,1
368,831,2023-03-11,tablet,Spain,organic,/checkout,780,10,1
369,3676,2023-05-30,mobile,Spain,referral,/checkout,357,7,1
370,1370,2023-03-21,mobile,Brazil,paid_search,/blog,272,8,1
371,741,2023-02-28,desktop,Mexico,paid_social,/home,597,3,1
372,117,2023-06-02,desktop,Brazil,email,/products,226,2,1
373,2839,2023-01-17,desktop,Brazil,referral,/checkout,363,5,1
374,1151,2023-02-08,tablet,USA,referral,/blog,239,3,1
375,1932,2023-03-18,desktop,Mexico,organic,/blog,81,10,1
376,1013,2023-04-02,mobile,Spain,paid_search,/products/category,448,7,1
377,1665,2023-06-16,desktop,Brazil,referral,/contact,409,10,1
378,1082,2023-01-24,desktop,Colombia,email,/blog,129,2,1
379,4730,2023-06-15,tablet,Mexico,direct,/products,781,7,1
380,513,2023-03-29,mobile,Colombia,direct,/home,515,2,1
381,2850,2023-02-13,desktop,Spain,paid_search,/home,635,7,1
382,560,2023-02-05,mobile,Mexico,email,/contact,800,7,1
383,3673,2023-04-09,desktop,USA,paid_social,/home,214,4,1
384,4584,2023-03-11,mobile,Mexico,paid_search,/products,502,10,1
385,4993,2023-05-02,desktop,Spain,referral,/blog,513,3,1
386,3344,2023-05-04,desktop,USA,referral,/products,174,9,1
387,4071,2023-03-21,tablet,Spain,paid_social,/checkout,805,11,1
388,4800,2023-02-14,tablet,Mexico,organic,/home,306,1,1
389,1471,2023-06-03,mobile,Spain,paid_social,/blog,836,4,1
390,581,2023-05-19,mobile,Mexico,paid_search,/home,411,10,1
391,2295,2023-06-29,mobile,USA,email,/blog,441,4,1
392,3148,2023-06-02,mobile,Mexico,paid_social,/blog,581,8,1
393,4250,2023-01-31,tablet,Spain,organic,/products,827,11,1
394,1680,2023-03-26,mobile,Spain,email,/products,427,4,1
395,3507,2023-02-14,desktop,Spain,direct,/products/category,196,10,1
396,2745,2023-04-25,desktop,Colombia,direct,/home,638,5,1
397,3357,2023-03-08,desktop,Colombia,email,/blog,727,4,1
398,4046,2023-03-17,tablet,Colombia,referral,/products,407,1,1
399,1244,2023-02-09,mobile,Brazil,referral,/products,8,8,0
400,3119,2023-06-23,desktop,Mexico,paid_search,/checkout,11,2,0
401,2142,2023-02-10,desktop,Colombia,paid_social,/home,417,10,1
402,3060,2023-04-30,tablet,Spain,paid_social,/contact,628,5,1
403,4549,2023-03-22,tablet,Spain,referral,/products/category,491,10,1
404,2960,2023-02-07,tablet,Colombia,email,/products,847,2,1
405,2266,2023-04-10,desktop,Colombia,paid_social,/contact,609,5,1
406,2480,2023-06-13,tablet,Spain,direct,/checkout,257,4,1
407,4647,2023-06-21,desktop,Colombia,email,/blog,780,10,1
408,1636,2023-02-26,mobile,Brazil,referral,/checkout,305,6,1
409,1758,2023-03-07,desktop,Brazil,paid_social,/contact,461,3,1
410,4453,2023-01-30,mobile,Brazil,organic,/cart,265,6,1
